longitude,latitude,time,u10,v10,msl,msdwlwrf,ssr
76.9000015258789,28.649999618530273,2008-01-06 18:00:00,-0.5109222,-1.9793184,101975.65,297.8926,0.0
76.9000015258789,28.649999618530273,2008-01-06 19:00:00,-0.29239857,-1.9468597,101966.82,292.16663,0.0
76.9000015258789,28.649999618530273,2008-01-06 20:00:00,0.1701194,-1.9281763,101952.13,293.2789,0.0
76.9000015258789,28.649999618530273,2008-01-06 21:00:00,0.21823102,-1.9728267,101960.27,290.9629,0.0
76.9000015258789,28.649999618530273,2008-01-06 22:00:00,0.30515528,-1.7844082,101966.77,290.01892,0.0
76.9000015258789,28.649999618530273,2008-01-06 23:00:00,0.059947968,-1.5901313,101918.48,288.20053,0.0
76.9000015258789,28.649999618530273,2008-01-07 00:00:00,-0.23721182,-1.7796581,101959.59,292.90204,0.0
76.9000015258789,28.649999618530273,2008-01-07 01:00:00,-0.3690132,-1.8543922,102005.71,300.06226,0.0
76.9000015258789,28.649999618530273,2008-01-07 02:00:00,-0.5248705,-1.8061,102046.586,306.08093,2965.5
76.9000015258789,28.649999618530273,2008-01-07 03:00:00,-0.86326873,-1.3804959,102106.32,303.72836,206210.25
76.9000015258789,28.649999618530273,2008-01-07 04:00:00,-1.038128,-0.68128896,102130.76,303.15027,680020.1
76.9000015258789,28.649999618530273,2008-01-07 05:00:00,-0.8517462,-0.017707437,102153.21,303.32224,1289179.0
76.9000015258789,28.649999618530273,2008-01-07 06:00:00,-0.30210173,0.44098878,102131.0,314.77783,1686418.0
76.9000015258789,28.649999618530273,2008-01-07 07:00:00,-0.30513394,0.39491332,102023.12,320.68677,1902188.5
76.9000015258789,28.649999618530273,2008-01-07 08:00:00,-0.4998039,0.31558752,101905.484,324.97485,1885059.6
76.9000015258789,28.649999618530273,2008-01-07 09:00:00,-0.2873448,0.46078062,101785.81,327.44086,1686550.8
76.9000015258789,28.649999618530273,2008-01-07 10:00:00,0.1650657,0.51239777,101713.76,328.0153,1303430.9
76.9000015258789,28.649999618530273,2008-01-07 11:00:00,0.06196946,0.29215395,101636.86,327.5067,774073.94
76.9000015258789,28.649999618530273,2008-01-07 12:00:00,0.43897822,0.39871335,101652.375,325.83832,239582.75
76.9000015258789,28.649999618530273,2008-01-07 13:00:00,0.6395105,0.16801941,101673.32,319.20862,1416.375
76.9000015258789,28.649999618530273,2008-01-07 14:00:00,0.7432132,-0.51123726,101759.484,322.2454,0.0
76.9000015258789,28.649999618530273,2008-01-07 15:00:00,0.19680315,-1.1751355,101820.77,333.02414,0.0
76.9000015258789,28.649999618530273,2008-01-07 16:00:00,-0.6880051,-1.2242193,101845.94,339.9868,0.0
76.9000015258789,28.649999618530273,2008-01-07 17:00:00,-1.1838777,-0.8237904,101870.43,341.88568,0.0
76.9000015258789,28.649999618530273,2008-01-07 18:00:00,-1.5885811,-0.49461213,101859.23,337.02686,0.0
